Index_Name,Index_Date,Open_Index_Value,High_Index_Value,Low_Index_Value,Closing_Index_Value,Points_Change,Change(%),Volume,Turnover_(Rs._Cr.),P/E,P/B,Div_Yield
Nifty Midcap150 Momentum 50,2024-01-11,63496.1,63641.55,63287.7,63437.35,394.25,.63,29898583,1312.06,35.06,5.19,.86
Nifty MidSmallcap400 Momentum Quality 100,2024-01-11,-,-,-,51761.82,384.17,.75,39657013,1906.98,32.9,6.05,.96
Nifty Smallcap250 Quality 50,2024-01-11,-,-,-,29871.06,233.56,.79,15354916,861.17,28.38,5.16,1.12
Nifty200 Alpha 30,2024-01-11,26367.85,26432.65,26272.25,26316.9,108.85,.42,27124902,1521.43,25.79,5.34,1.35
Nifty100 ESG Sector Leaders,2024-01-11,4038.75,4051.35,4036.15,4040.2,18.45,.46,49995854,3644.67,26.45,4.04,1.05
Nifty India Manufacturing,2024-01-11,14315.65,14352,14305.05,14320.0,109.95,.77,53299664,2891.89,33.18,4.57,1.14
Nifty200 Momentum 30,2024-01-11,34764.95,34915.1,34727.65,34784.6,268.5,.78,53532732,2190.13,21.99,4.64,1.5
NIFTY Midcap150 Quality 50,2024-01-11,24772.7,24818.15,24718.8,24741.7,123.35,.5,3331400,418.04,39.3,9.47,1.15
NIFTY200 Quality 30,2024-01-11,21428.25,21448.35,21343.3,21368.15,64.45,.3,13038655,1051.15,34.51,10.56,1.81
NIFTY Alpha Quality Value Low-Volatility 30,2024-01-11,-,-,-,21020.68,71.58,.34,20403562,1434.25,21.3,5.02,1.99
NIFTY Alpha Quality Low-Volatility 30,2024-01-11,-,-,-,23400.15,68.82,.29,13404201,1135.47,30.69,8.08,1.45
NIFTY Quality Low-Volatility 30,2024-01-11,-,-,-,17561.94,42.03,.24,9989099,1205.41,33.46,8.16,1.38
NIFTY Alpha Low-Volatility 30,2024-01-11,28654,28672.35,28544.95,28573.35,89.5,.31,16988277,1711.02,27.24,4.5,.97
Nifty100 Low Volatility 30,2024-01-11,19804.25,19820,19728.65,19751.45,45.65,.23,10240017,1608.76,32.77,6.09,1.05
NIFTY500 Value 50,2024-01-11,-,-,-,14475.55,111.78,.78,92574786,1944.58,12.74,1.63,3.27
Nifty Smallcap250 Momentum Quality 100,2024-01-11,-,-,-,51596.37,473.46,.93,44291740,1876.09,28.85,4.69,.96
Nifty Midcap Select,2024-01-11,12411.95,12448.25,12386.55,12402.15,59.0,.48,269365418,796.34,52.66,6.6,.82
Nifty Next 50,2024-01-11,70320.7,70611.7,70288.85,70400.75,489.0,.7,86583526,2136.06,23.37,3.78,1.51
Nifty Midcap 150,2024-01-11,21014.75,21077.6,20993,21021.1,144.4,.69,357184873,2978.29,43.28,5.48,.73
Nifty50 Shariah,2024-01-11,-,-,-,5177.14,16.28,.32,9355178,804.76,27.49,6.1,1.9
Nifty Services Sector,2024-01-11,31640.5,31752,31610.65,31657.1,110.1,.35,35323972,1911.7,21.83,3.67,1.2
Nifty PSE,2024-01-11,10246.1,10288.35,10237.65,10266.65,91.4,.9,48989433,1229.9,13.17,2.28,3.26
Nifty Infrastructure,2024-01-11,8858.3,8888.55,8854.35,8869.15,45.75,.52,26364356,1307.8,25.06,3.11,1.23
Nifty Dividend Opportunities 50,2024-01-11,6471.75,6482.05,6454.5,6462.45,28.4,.44,73143586,2419.88,18.63,3.45,2.69
Nifty Commodities,2024-01-11,8941.2,8971.15,8938.05,8958.4,70.55,.79,38455479,1359.06,21.18,2.39,2.17
Nifty India Consumption,2024-01-11,11565.55,11603.35,11555.85,11569.2,88.4,.77,23391845,1616.15,47.42,9.07,.92
Nifty Realty,2024-01-11,1009.6,1014.7,1004.2,1009.1,9.55,.96,1314067,162.79,48.01,5.74,.38
Nifty PSU Bank,2024-01-11,6759.6,6798.7,6752.55,6778.55,53.2,.79,44820516,566.52,7.86,1.32,2.19
Nifty Pharma,2024-01-11,22886.45,22894.55,22724.3,22807.15,71.6,.31,3063084,350.89,37.46,5.53,.59
Nifty MNC,2024-01-11,29429.2,29459.25,29305.05,29341.8,106.65,.36,3650448,434.28,43.98,9.35,1.81
Nifty Metal,2024-01-11,9376.8,9414.7,9371.75,9390.3,63.45,.68,16513870,484.68,32.3,2.69,2.25
Nifty Media,2024-01-11,2029.7,2038.25,2020.8,2027.25,8.25,.41,5818974,81.94,-,2.37,.39
Nifty500 Shariah,2024-01-11,-,-,-,7634.62,42.33,.56,68097635,3328.8,34.09,6.04,1.32
Nifty IT,2024-01-11,40568.65,40646.7,40366.5,40433.65,26.1,.06,2184607,360.57,32.01,8.32,2.1
Nifty Financial Services,2024-01-11,23920.95,24019.45,23878.15,23947.6,61.05,.26,7264539,813.71,16.74,2.89,.9
Nifty Energy,2024-01-11,39535.45,39702.85,39524.85,39635.65,333.7,.85,20875718,943.85,15.7,2.24,2.44
Nifty Bank,2024-01-11,51550.15,51825.5,51459.4,51673.9,198.55,.39,51350377,1023.61,14.2,2.32,.96
Nifty Auto,2024-01-11,23792.7,23869.75,23765.9,23805.6,290.9,1.24,8691645,916.36,23.4,4.88,.92
Nifty50 Dividend Points,2024-01-11,-,-,-,220.94,0.0,-,-,-,-,-,-
NIFTY Smallcap 100,2024-01-11,18764.95,18862.25,18738.85,18794.9,192.3,1.03,66752405,2501.46,35.49,4.24,.95
NIFTY Midcap 100,2024-01-11,56471.15,56657.05,56415.7,56496.05,383.2,.68,353944795,2718.03,42.53,5.16,.75
Nifty Midcap 50,2024-01-11,15643.2,15685,15632.2,15649.3,109.7,.71,316799296,1296.34,48.75,5.6,.72
Nifty 500,2024-01-11,22806.95,22881.5,22799.7,22823.55,134.2,.59,604294357,12277.86,26.23,3.97,1.12
Nifty 200,2024-01-11,13683.15,13726.8,13676.15,13690.35,72.15,.53,479339708,8202.54,25.16,3.86,1.17
Nifty 100,2024-01-11,25171,25250.9,25157.6,25184.6,125.1,.5,125394913,5484.51,23.26,3.68,1.26
Nifty 1D Rate Index,2024-01-11,-,-,-,2347.87,0.4,.02,-,-,-,-,-
Nifty 50,2024-01-11,24302.75,24368.25,24280.2,24304.35,99.0,.41,38811387,3348.45,22.68,3.64,1.26
Nifty FMCG,2024-01-11,59542.25,59620.4,59328.7,59433.2,230.2,.39,3402512,282.64,47.17,11.57,1.74
Nifty IPO,2024-01-11,-,-,-,2198.3,38.35,1.78,37796108,2397.6,62.32,10.85,.14
Nifty Low Volatility 50,2024-01-11,-,-,-,24420.41,73.35,.3,13112543,1938.1,35.2,5.68,1
Nifty High Beta 50,2024-01-11,-,-,-,3783.77,46.25,1.24,371147538,2781.98,21.2,2.25,1.37
