Index_Name,Index_Date,Open_Index_Value,High_Index_Value,Low_Index_Value,Closing_Index_Value,Points_Change,Change(%),Volume,Turnover_(Rs._Cr.),P/E,P/B,Div_Yield
Nifty Microcap 250,,23492.25,23834.85,23195.65,23767.15,323.25,1.38,206148060,4860.66,33.44,3.47,.54
Nifty Total Market,,12697.1,12814.95,12614.5,12757.45,88.25,.7,3115425967,90748.16,26.07,3.92,1.06
Nifty India Digital,,9115.85,9207.1,9096.75,9181.85,61.25,.67,775010202,7649.68,457.19,17.48,.96
Nifty Mobility,,-,-,-,20511.73,-12.14,-.06,190514267,13009.38,26.18,5.16,.96
Nifty India Defence,,-,-,-,6088.47,-9.04,-.15,30916079,2254.13,49.25,11.98,.53
Nifty Financial Services Ex-Bank,,-,-,-,25770.0,217.9,.85,134277176,8059.16,22.69,3.26,.82
Nifty Housing,,-,-,-,11360.8,100.13,.89,873937132,23121.33,26.14,3.22,.9
Nifty Transportation & Logistics,,-,-,-,23035.5,24.05,.1,120340639,10195.59,29.34,5.89,.7
Nifty MidSmall Financial Services,,-,-,-,15247.7,204.49,1.36,609718809,9028.12,22.65,2.77,.64
Nifty MidSmall Healthcare,,41195,41965.65,41113.1,41879.0,676.95,1.64,28781451,2241.66,52.97,6.1,.83
Nifty MidSmall IT & Telecom,,-,-,-,10504.25,77.95,.75,717635766,2580.19,390.69,37.3,.88
Nifty MidSmall India Consumption,,-,-,-,19167.31,51.71,.27,40187278,4362.61,63.04,9.28,.51
Nifty REITs & InvITs,,-,-,-,1162.46,5.27,.46,4577259,79.61,30.61,1.86,7.17
Nifty Core Housing,,-,-,-,16395.8,167.49,1.03,42015964,5712.42,38.69,4.17,.65
Nifty500 Multicap Infrastructure 50:30:20,,13655.2,13813.4,13509.1,13740.45,92.7,.68,1123491728,17862.95,28.98,3.92,1.17
Nifty Rural,,-,-,-,14758.69,114.2,.78,1040837935,20461.62,29.21,4.44,1.1
Nifty Capital Markets,,-,-,-,3588.44,51.93,1.47,30396119,4021.14,45.16,13.55,.92
Nifty India New Age Consumption,,-,-,-,11367.43,14.34,.13,854138745,18429.85,58.23,8.85,.51
Nifty Consumer Durables,,39783,40019.2,39406.55,39769.9,97.45,.25,11099812,3062.36,80.91,12.61,.37
Nifty Non-Cyclical Consumer,,-,-,-,16311.03,-0.05,0,104571155,10469.4,64.31,12.69,.89
Nifty500 Multicap India Manufacturing 50:30:20,,14799.6,14989,14711.8,14916.55,157.85,1.07,203964576,15755.16,32.6,4.01,.81
Nifty EV & New Age Automotive,,-,-,-,3139.65,11.08,.35,74936490,7723.28,33.89,5.61,.71
Nifty500 LargeMidSmall Equal-Cap Weighted,,-,-,-,17426.5,138.26,.8,2909277907,85887.5,30.18,4.27,.94
Nifty India Tourism,,-,-,-,7981.77,-181.42,-2.22,60595337,4473.62,59.72,17.29,.2
Nifty Midcap150 Momentum 50,,61932.55,62494.25,61370.25,62208.0,457.35,.74,243806295,11006.31,32.83,5.09,.87
NIFTY100 Alpha 30,,-,-,-,19169.48,2.82,.01,308456862,15787.17,23.31,5.22,1.55
NIFTY500 Value 50,,-,-,-,14139.31,217.23,1.56,539787870,13200.48,11.72,1.59,3.32
Nifty100 Low Volatility 30,,19864,20031.85,19751.05,19920.05,106.8,.54,95236827,15910.67,33.35,6.15,1.02
NIFTY Alpha Low-Volatility 30,,28449.75,28698.25,28271.7,28557.55,155.6,.55,119512090,14463.63,27.53,4.49,.97
NIFTY Quality Low-Volatility 30,,-,-,-,17740.3,59.71,.34,74765002,9948.11,33.76,8.24,1.35
NIFTY Alpha Quality Low-Volatility 30,,-,-,-,23487.46,47.96,.2,88056503,8622.9,30.88,8.11,1.47
NIFTY Alpha Quality Value Low-Volatility 30,,-,-,-,21150.71,114.2,.54,151902827,12061.75,21.49,5.05,1.94
NIFTY200 Quality 30,,21603.45,21690.75,21448.95,21573.7,-1.0,0,82244077,8012.27,34.76,10.66,1.72
NIFTY Midcap150 Quality 50,,24469.55,24579.55,24350.2,24486.75,25.85,.11,35277986,3779.06,38.91,9.37,1.15
Nifty200 Momentum 30,,34340.05,34765.3,33968.75,34513.9,235.9,.69,277563817,13245.8,22.2,4.6,1.48
Nifty India Manufacturing,,14214.55,14362,14095.7,14287.2,105.35,.74,332524617,18547.23,31.2,4.56,1.14
Nifty100 ESG Sector Leaders,,4042.4,4084.1,4017.5,4057.4,27.45,.68,312641976,33780.81,26.48,4.06,.95
Nifty200 Alpha 30,,26403.35,26592.35,26113.25,26441.55,73.7,.28,218195788,15683.48,23.43,5.36,1.34
Nifty Smallcap250 Quality 50,,-,-,-,28447.74,281.64,1,69404819,3969.53,27.16,4.91,1.18
Nifty Smallcap250 Momentum Quality 100,,-,-,-,49384.72,761.51,1.57,216127533,10009.56,27.72,4.49,1.01
Nifty MidSmallcap400 Momentum Quality 100,,-,-,-,50624.18,282.47,.56,223305410,12094.87,32.36,5.91,.98
Nifty500 Momentum 50,,-,-,-,58521.67,572.9,.99,435984344,14991.22,28.55,5.05,.79
Nifty200 Value 30,,-,-,-,13049.34,221.18,1.72,426883684,12381.97,11.62,1.66,3.31
Nifty Top 10 Equal Weight,,-,-,-,9397.71,18.83,.2,80770469,11894.69,22.83,3.89,1
Nifty500 Multicap Momentum Quality 50,,-,-,-,45024.03,67.42,.15,168444287,11012.5,21.97,5.32,1.5
Nifty Top 15 Equal Weight,,-,-,-,9700.81,46.38,.48,99523345,15195.76,22.29,3.85,1.05
Nifty Top 20 Equal Weight,,-,-,-,9015.71,63.54,.71,112735444,17125.91,23.56,4.4,1.08
Nifty 8-13 yr G-Sec,,2725.09,2725.09,2719.98,2721.34,-3.23,-.12,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,,2946.43,2946.43,2943.21,2943.62,-2.26,-.08,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,,3024.39,3024.39,3018.89,3018.96,-4.85,-.16,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,,3355.01,3355.01,3345.82,3346.58,-7.79,-.23,-,-,-,-,-
Nifty Composite G-sec Index,,2823.58,2823.58,2818.39,2819.38,-3.66,-.13,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec,,2410.56,2410.56,2405.74,2406.91,-3.2,-.13,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec (Clean Price),,887.3,887.3,885.51,885.95,-1.35,-.15,-,-,-,-,-
Nifty 1D Rate Index,,-,-,-,2346.25,1.25,.05,-,-,-,-,-
Nifty50 USD,,-,-,-,10030.5,65.56,.66,-,-,-,-,-
Nifty 50,,24328.85,24484.5,24140.85,24466.85,127.7,.52,332044690,35579.48,23.02,3.67,1.24
Nifty Next 50,,70121.95,70624.1,69095.9,70538.35,507.8,.73,434042943,14040.14,22.64,3.78,1.5
Nifty 100,,25171.95,25339.1,24952.05,25321.3,146.1,.58,766087633,49619.62,23.41,3.7,1.23
Nifty 200,,13663.65,13751.5,13534.9,13742.3,86.95,.64,1852324550,70034.33,25.32,3.88,1.15
Nifty 500,,22670.8,22808.8,22450,22795.05,145.1,.64,2319438664,88450.81,26.26,3.97,1.11
Nifty Midcap 50,,15626.05,15694.45,15394.7,15677.45,132.8,.85,877101884,11322.77,49.1,5.61,.72
NIFTY Midcap 100,,55979,56312.6,55239.85,56251.3,514.7,.92,1086236917,20414.71,42.86,5.15,.75
NIFTY Smallcap 100,,18099.2,18227.3,17870.65,18198.95,136.65,.76,229865058,9353.95,34.6,4.1,.99
Nifty50 Dividend Points,,-,-,-,216.18,0.0,-,-,-,-,-,-
Nifty Auto,,23941.65,24048.65,23264.3,23588.6,-375.85,-1.57,64576367,8941.96,23.18,4.84,.93
Nifty Bank,,51404.1,52354.85,51278.9,52320.7,1061.4,2.07,374629247,14536.44,14.67,2.35,.95
Nifty Energy,,39025.4,39419.55,38739.7,39359.8,236.3,.6,121376266,4921.53,14.76,2.23,2.37
Nifty Financial Services,,23877.95,24379.95,23799.8,24357.8,495.95,2.08,138055947,16615.06,17.24,2.94,.88
Nifty FMCG,,59354.5,59389.9,58694.95,59203.85,-48.8,-.08,24575509,2296.57,46.99,11.52,1.77
Nifty IT,,42167.55,42210.9,41746.6,42031.45,-173.95,-.41,16313469,2907.07,33.27,8.65,1.93
Nifty Media,,1934.2,1942.3,1906.95,1937.6,6.1,.32,26036428,339.99,-,2.26,.43
Nifty Metal,,9297.7,9358.25,9097.3,9338.75,60.35,.65,96312891,3034.65,32.12,2.68,2.26
Nifty MNC,,29317.95,29328.6,28880.65,29195.6,-45.3,-.15,31127739,5498.24,43.51,9.31,1.87
Nifty Pharma,,22978.65,23003.95,22360.5,22601.4,-255.85,-1.12,22346817,2788.95,37.65,5.48,.59
Nifty PSU Bank,,6562.75,6769.3,6505.7,6758.95,237.65,3.64,251201585,4958.67,8.11,1.3,2.2
Nifty Realty,,990.3,1002.95,978.05,1001.85,14.1,1.43,11218841,1425.1,47.67,5.7,.38
Nifty India Consumption,,11590.35,11616.35,11426.45,11551.55,-42.85,-.37,88683020,12310.22,47.34,9.06,.93
Nifty Commodities,,8843.05,8903.75,8735.8,8892.4,54.75,.62,211644973,8160.7,20.04,2.37,2.12
Nifty Dividend Opportunities 50,,6481.35,6532.5,6415.4,6526.7,50.95,.79,468656180,19257.02,18.58,3.49,2.62
Nifty Infrastructure,,8727.75,8792.55,8658.65,8783.55,37.2,.43,189977410,10669.68,24.27,3.08,1.21
Nifty PSE,,10061,10227.9,9962.05,10215.45,170.8,1.7,269522903,7799.07,12.64,2.27,3.19
Nifty Services Sector,,31903.25,32246,31748.4,32223.15,301.55,.94,233409510,21466.28,22.49,3.74,1.15
Nifty50 Shariah,,-,-,-,5230.66,-19.02,-.36,43597105,5347.34,27.87,6.16,1.87
Nifty500 Shariah,,-,-,-,7618.47,4.44,.06,477563234,24402.74,33.61,5.98,1.29
Nifty Low Volatility 50,,-,-,-,24495.91,0.35,0,154067350,24806.8,35.5,5.69,.98
Nifty Alpha 50,,55421.9,55942.5,54562.1,55818.25,642.3,1.16,377566634,15050.13,39.49,6.19,.72
Nifty High Beta 50,,-,-,-,3725.31,55.08,1.5,1019952384,16037.31,21.12,2.22,1.39
Nifty100 Equal Weight,,32442.65,32622.2,32006.55,32596.9,207.5,.64,766087633,49619.62,23.8,3.76,1.26
Nifty100 Liquid 15,,6518,6549.2,6419.3,6543.5,17.1,.26,153373848,15441.86,19.93,3.04,1.11
Nifty CPSE,,6481.55,6578.85,6438.05,6572.05,113.75,1.76,121219401,3311.57,13.28,2.47,3.02
Nifty50 Value 20,,13810.8,13897.95,13707.7,13888.9,97.9,.71,172874362,13227.76,20.52,3.67,2.05
Nifty Midcap Liquid 15,,13757.65,13881.8,13618.15,13870.1,181.55,1.33,151071841,5174.98,36.39,4.36,.52
Nifty Shariah 25,,-,-,-,8747.45,-24.85,-.28,49621340,5905.08,28.67,5.92,1.74
India VIX,,14.29,15.0275,13.5575,14.52,0.23,1.57,-,-,-,-,-
Nifty Growth Sectors 15,,11968.35,11978.85,11795.7,11864.2,-108.5,-.91,74299907,10228.34,29.01,7.31,1.73
Nifty50 TR 1x Inverse,,169.2,170.5,168.1,168.25,-0.95,-.56,-,-,-,-,-
Nifty50 TR 2x Leverage,,20222,20479.9,19909.85,20451.2,236.45,1.17,-,-,-,-,-
Nifty50 PR 1x Inverse,,204.05,205.65,202.75,202.9,-1.05,-.51,-,-,-,-,-
Nifty50 PR 2x Leverage,,13871.95,14049.1,13657.5,14029.35,143.2,1.03,-,-,-,-,-
NIFTY100 Quality 30,,5801.3,5810.75,5730.15,5789.65,-5.5,-.09,103617439,14849.67,32.83,8.7,1.7
Nifty India Tourism,,-,-,-,8000.52,18.75,.23,47374384,1395.3,67.23,17.33,.2
Nifty Midcap150 Momentum 50,,62434.85,63179.1,61703.5,63088.5,880.5,1.42,195827461,10815.15,35.15,5.16,.86
NIFTY100 Alpha 30,,-,-,-,19198.26,28.78,.15,292205892,15075.17,24.12,5.22,1.55
NIFTY500 Value 50,,-,-,-,14360.35,221.04,1.56,606566729,14913.04,12.35,1.62,3.27
Nifty100 Low Volatility 30,,19937.75,19971,19662.25,19832.6,-87.45,-.44,110554437,20636.82,33.18,6.12,1.07
NIFTY Alpha Low-Volatility 30,,28639.35,28675.9,28233.55,28557.9,0.35,0,159450974,20202.63,27.47,4.49,.97
NIFTY Quality Low-Volatility 30,,-,-,-,17652.11,-88.19,-.5,73109661,13773.48,33.64,8.2,1.4
NIFTY Alpha Quality Low-Volatility 30,,-,-,-,23451.07,-36.39,-.15,89723603,11440.06,30.82,8.09,1.48
NIFTY Alpha Quality Value Low-Volatility 30,,-,-,-,21214.36,63.65,.3,145631866,13684.62,21.56,5.06,1.97
NIFTY200 Quality 30,,21626.65,21650.2,21342.4,21574.75,1.05,0,81982626,8736.9,34.79,10.66,1.78
NIFTY Midcap150 Quality 50,,24581.3,24662.8,24266.2,24640.35,153.6,.63,40868530,4282.94,39.11,9.43,1.14
Nifty200 Momentum 30,,34647.8,34905.1,34020.8,34871.0,357.1,1.03,311912241,16552.84,22.39,4.65,1.46
Nifty India Manufacturing,,14317.6,14339.9,14045.95,14241.5,-45.7,-.32,404431344,23991.18,32.05,4.55,1.14
Nifty100 ESG Sector Leaders,,4054.6,4071.45,4018.95,4068.35,10.95,.27,347211304,35674.32,26.61,4.07,1.03
Nifty200 Alpha 30,,26506.35,26639.95,26074.7,26607.75,166.2,.63,227900418,15098.8,25.35,5.39,1.33
Nifty Smallcap250 Quality 50,,-,-,-,28746.72,298.97,1.05,56026125,3799.83,27.4,4.96,1.17
Nifty Smallcap250 Momentum Quality 100,,-,-,-,49859.35,474.63,.96,174972632,7611.43,28.04,4.53,1
Nifty MidSmallcap400 Momentum Quality 100,,-,-,-,51100.88,476.71,.94,181849477,10995.35,32.64,5.97,.97
Nifty500 Momentum 50,,-,-,-,59354.59,832.91,1.42,460958413,16293.1,28.9,5.13,.78
Nifty200 Value 30,,-,-,-,13241.34,192.0,1.47,500099598,13672.37,12.48,1.68,3.26
Nifty Top 10 Equal Weight,,-,-,-,9443.98,46.27,.49,86807061,13018.88,22.93,3.91,1.12
Nifty500 Multicap Momentum Quality 50,,-,-,-,45595.22,571.19,1.27,153720201,11020,22.24,5.38,1.48
Nifty Top 15 Equal Weight,,-,-,-,9742.13,41.32,.43,123612506,20102.29,22.38,3.87,1.13
Nifty Top 20 Equal Weight,,-,-,-,9017.91,2.2,.02,155763102,23527.11,23.56,4.4,1.14
NIFTY100 ESG,,4843.9,4856.65,4785.8,4854.15,11.25,.23,640587391,45016.65,24.47,4.27,1.21
NIFTY100 Enhanced ESG,,-,-,-,4890.76,11.29,.23,640359553,44965.35,24.45,4.27,1.22
NIFTY50 Equal Weight,,30781.1,30884.35,30369.7,30864.6,126.9,.41,332044690,35579.48,24.22,3.85,1.33
Nifty500 Equal Weight,,-,-,-,14122.31,111.24,.79,2319438664,88450.81,31.28,4.2,.93
Nifty 50 Futures Index,,-,-,-,6762.75,35.74,.53,-,-,-,-,-
Nifty 50 Arbitrage,,-,-,-,2388.05,1.11,.05,-,-,-,-,-
Nifty 50 Futures TR Index,,-,-,-,26351.57,144.34,.55,-,-,-,-,-
Nifty India Corporate Group Index - Mahindra Group,,-,-,-,32370.11,-228.4,-.7,7918569,1229.69,31.42,4.47,1.33
Nifty India Corporate Group Index - Aditya Birla Group,,-,-,-,7962.71,29.86,.38,424272336,1493.3,664.22,3.62,.52
Nifty India Corporate Group Index - Tata Group,,-,-,-,18714.04,-66.91,-.36,85216977,5423.43,36.19,8.19,1.22
Nifty India Corporate Group Index - Tata Group 25% Cap,,16944.65,16963.15,16596.15,16846.9,-59.3,-.35,77538031,4906.83,37.38,6.51,.99
Nifty Private Bank,,25285.45,25672.2,25200.05,25622.15,386.8,1.53,223755219,11026.55,15.51,2.37,.58
Nifty Smallcap 250,,17200.7,17305.35,16985,17278.2,126.6,.74,449935791,16740.78,31.75,4.13,.88
Nifty Smallcap 50,,8748.1,8819.65,8624,8806.45,81.85,.94,144792488,5984.15,31.6,3.75,.81
Nifty MidSmallcap 400,,19535.4,19643.2,19290.9,19619.65,155.15,.8,1553351031,38831.19,38.34,4.89,.78
Nifty Midcap 150,,20779.95,20888.8,20516.85,20867.4,171.85,.83,1103415240,22090.41,43.39,5.44,.73
Nifty IPO,,-,-,-,2127.71,14.65,.69,106108669,2958.91,59.58,10.19,.14
Nifty Midcap Select,,12458.35,12537.05,12308.75,12524.2,124.0,1,563882429,6647.41,53.49,6.67,.81
NIFTY LargeMidcap 250,,15788.8,15878.85,15621.05,15868.85,111.15,.71,1869502873,71710.03,30.43,4.41,.98
NIFTY SME EMERGE,,-,-,-,15583.46,153.31,.99,-,-,114.08,10.71,.06
Nifty Oil & Gas,,11330,11428.45,11206,11409.55,37.75,.33,97819322,3746.67,12.3,1.73,3.03
Nifty Financial Services 25/50,,25997.4,26563.7,25853.55,26547.2,585.95,2.26,138055947,16615.06,17.52,3.1,.91
Nifty Healthcare Index,,14566.1,14580.75,14227.2,14366.8,-128.95,-.89,25480640,3117.77,42.84,6.05,.52
Nifty500 Multicap 50:25:25,,15815.4,15908.65,15649.65,15896.9,107.5,.68,2319438664,88450.81,28.51,4.13,1.02
Nifty Microcap 250,,23825.05,23905.5,23572.75,23867.5,100.35,.42,194194152,5017.04,33.54,3.48,.53
Nifty Total Market,,12769.85,12845.3,12645.35,12838.15,80.7,.63,2513632816,93467.85,26.47,3.95,1.09
Nifty India Digital,,9190.05,9200.7,9055.5,9175.7,-6.15,-.07,479426695,7113.97,458.2,17.47,1.05
Nifty Mobility,,-,-,-,20358.84,-152.89,-.75,204276662,14238.85,27.14,5.12,.97
Nifty India Defence,,-,-,-,6221.24,132.77,2.18,42386067,3218.49,49.55,12.24,.52
Nifty Financial Services Ex-Bank,,-,-,-,26340.27,570.27,2.21,143813044,9380.97,23.16,3.33,.8
Nifty Housing,,-,-,-,11506.87,146.06,1.29,626238814,23665.02,26.59,3.26,.88
Nifty Transportation & Logistics,,-,-,-,22826.25,-209.25,-.91,129039530,11417.14,29.38,5.84,.71
Nifty MidSmall Financial Services,,-,-,-,15567.02,319.31,2.09,351774095,8389.9,23.57,2.83,.63
Nifty MidSmall Healthcare,,41980.2,42060.5,41361.15,41894.2,15.2,.04,42063819,2492.25,52.99,6.1,.83
Nifty MidSmall IT & Telecom,,-,-,-,10507.12,2.86,.03,436750818,2503.76,395.25,37.31,.88
Nifty MidSmall India Consumption,,-,-,-,19309.3,142.0,.74,39657520,4254.15,63.54,9.34,.5
Nifty REITs & InvITs,,-,-,-,1170.63,8.17,.7,6631324,122.44,30.83,1.88,7.6
Nifty Core Housing,,-,-,-,16545.18,149.38,.91,32276189,5035.5,38.71,4.21,.64
Nifty500 Multicap Infrastructure 50:30:20,,13754.2,13817.05,13599.1,13807.6,67.15,.49,836469360,14552.19,30.46,3.94,1.17
Nifty Rural,,-,-,-,14823.4,64.71,.44,793370598,27295.72,29.32,4.46,1.09
Nifty Capital Markets,,-,-,-,3650.13,61.69,1.72,20693104,3393.94,45.22,13.78,.91
Nifty India New Age Consumption,,-,-,-,11366.37,-1.06,-.01,564240673,18965.62,58.62,8.84,.51
Nifty Consumer Durables,,39876.85,40123.9,39362.35,40062.5,292.6,.74,14192309,3097.19,81.5,12.7,.37
Nifty Non-Cyclical Consumer,,-,-,-,16300.6,-10.44,-.06,93546875,8215.26,65.15,12.68,.89
Nifty500 Multicap India Manufacturing 50:30:20,,14939.6,14961.85,14683.8,14888.95,-27.6,-.19,235336298,19927.34,33.92,4,.81
Nifty EV & New Age Automotive,,-,-,-,3118.89,-20.77,-.66,95373571,12138.91,33.67,5.57,.71
Nifty500 LargeMidSmall Equal-Cap Weighted,,-,-,-,17551.11,124.61,.72,2319438664,88450.81,30.77,4.3,.95
Nifty 8-13 yr G-Sec,,2721.86,2726.67,2721.86,2725.14,3.8,.14,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,,2944.17,2947.15,2944.17,2946.9,3.28,.11,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,,3019.54,3024.89,3019.54,3023.86,4.9,.16,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,,3347.22,3355.23,3347.22,3354.45,7.87,.24,-,-,-,-,-
Nifty Composite G-sec Index,,2819.92,2825.09,2819.92,2823.81,4.43,.16,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec,,2407.36,2411.24,2406.91,2408.86,1.95,.08,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec (Clean Price),,885.95,887.38,885.78,886.5,0.55,.06,-,-,-,-,-
Nifty 1D Rate Index,,-,-,-,2346.66,0.41,.02,-,-,-,-,-
Nifty50 USD,,-,-,-,10083.57,53.07,.53,-,-,-,-,-
Nifty 50,,24371.45,24498.2,24307.3,24340.85,-126.0,-.51,285196335,31068.7,22.9,3.65,1.25
Nifty Next 50,,70405.7,70890.45,70050,70268.35,-270.0,-.38,414667259,13784.47,22.56,3.77,1.5
Nifty 100,,25227.2,25364.55,25164.5,25195.05,-126.25,-.5,699863594,44853.17,23.3,3.68,1.24
Nifty 200,,13696.25,13784.1,13664.7,13688.7,-53.6,-.39,2246099615,66430.46,25.22,3.86,1.16
Nifty 500,,22731.15,22896.55,22685.4,22749.8,-45.25,-.2,2785443346,86789.95,26.21,3.96,1.11
Nifty Midcap 50,,15651.5,15778.35,15578.25,15647.5,-29.95,-.19,1300422246,11792.49,49.01,5.6,.72
NIFTY Midcap 100,,56166.2,56800.9,55973.65,56339.25,87.95,.16,1546236021,21577.29,42.92,5.15,.75
NIFTY Smallcap 100,,18231.3,18454.7,18183.2,18390.9,191.95,1.05,267846724,11901.43,34.97,4.14,.97
Nifty50 Dividend Points,,-,-,-,216.18,0.0,-,-,-,-,-,-
Nifty Auto,,23430.6,23855.15,23423.9,23594.0,5.4,.02,49482989,7197.18,23.19,4.84,.93
Nifty Bank,,51988.7,52220,51733,51807.5,-513.2,-.98,247658224,11307.58,14.53,2.32,.96
Nifty Energy,,39297,39633,39000.5,39296.15,-63.65,-.16,93590408,4305.78,14.74,2.22,2.37
Nifty Financial Services,,24208.5,24308.9,23994.55,24037.4,-320.4,-1.32,99743211,12286.5,17.01,2.9,.9
Nifty FMCG,,59269.95,59837.05,59195.6,59748.9,545.05,.92,38873709,3283.32,47.42,11.63,1.76
Nifty IT,,41975.35,42164.35,41572.1,41668.6,-362.85,-.86,22760617,3836.52,32.98,8.58,1.95
Nifty Media,,1939.2,1987.7,1935,1982.85,45.25,2.34,24593163,318.01,-,2.32,.42
Nifty Metal,,9305.35,9427.85,9267.75,9342.45,3.7,.04,77872056,3031.35,32.14,2.68,2.26
Nifty MNC,,29176.65,29565.2,29156.2,29369.2,173.6,.59,24070136,4868.39,43.77,9.36,1.86
Nifty Pharma,,22512.8,22569,22216.95,22374.95,-226.45,-1,28770605,3995.86,37.27,5.43,.6
Nifty PSU Bank,,6733.15,6817.95,6712.65,6741.55,-17.4,-.26,201961190,3301.17,8.09,1.3,2.21
Nifty Realty,,995.1,1013.9,992.25,1001.05,-0.8,-.08,7482568,1005.94,47.63,5.69,.38
Nifty India Consumption,,11500.35,11622.65,11486.45,11559.5,7.95,.07,103996980,11998.51,47.37,9.06,.93
Nifty Commodities,,8880.2,8947.35,8822.25,8882.5,-9.9,-.11,169226510,6986.57,20.02,2.37,2.12
Nifty Dividend Opportunities 50,,6514.8,6558.4,6502.7,6507.7,-19.0,-.29,461714021,18241.35,18.52,3.48,2.63
Nifty Infrastructure,,8767.05,8852.3,8720.95,8788.55,5.0,.06,146352667,8921.4,24.29,3.08,1.21
Nifty PSE,,10210.2,10313.7,10138.25,10187.95,-27.5,-.27,307372250,8037.09,12.61,2.26,3.2
Nifty Services Sector,,32063.85,32171.85,31858.5,31889.0,-334.15,-1.04,213430617,18428.99,22.26,3.7,1.16
Nifty50 Shariah,,-,-,-,5214.61,-16.04,-.31,46361954,5847.67,27.79,6.14,1.87
Nifty500 Shariah,,-,-,-,7616.18,-2.3,-.03,389860380,24694.86,33.6,5.98,1.29
Nifty Low Volatility 50,,-,-,-,24471.22,-24.69,-.1,159518830,23655.33,35.47,5.69,.98
Nifty Alpha 50,,55831.15,56437.7,55486.2,56015.1,196.85,.35,399311120,16614.03,39.63,6.21,.71
Nifty High Beta 50,,-,-,-,3748.07,22.76,.61,1529376861,15990.63,21.25,2.23,1.38
Nifty100 Equal Weight,,32507.05,32770.1,32383.4,32524.45,-72.45,-.22,699863594,44853.17,23.74,3.75,1.26
Nifty100 Liquid 15,,6509.5,6591.2,6509.1,6531.95,-11.55,-.18,111724276,11686.13,19.89,3.03,1.11
Nifty CPSE,,6576.5,6667.35,6536.85,6574.2,2.15,.03,131051204,3340.25,13.29,2.47,3.02
Nifty50 Value 20,,13851.3,13887.55,13784.6,13796.1,-92.8,-.67,142394563,11327.16,20.39,3.64,2.07
Nifty Midcap Liquid 15,,13855.5,13940.45,13777.1,13817.25,-52.85,-.38,99551471,3900.23,36.25,4.35,.52
Nifty Shariah 25,,-,-,-,8728.69,-18.77,-.21,51763052,6650.34,28.61,5.91,1.74
India VIX,,14.515,15.7,14.28,15.51,1.0,6.85,-,-,-,-,-
Nifty Growth Sectors 15,,11822.75,11906.45,11803.8,11821.95,-42.25,-.36,64253182,9826.84,28.9,7.28,1.74
Nifty50 TR 1x Inverse,,168.95,169.35,168.05,169.15,0.9,.53,-,-,-,-,-
Nifty50 TR 2x Leverage,,20288.15,20500,20181.4,20237.05,-214.15,-1.05,-,-,-,-,-
Nifty50 PR 1x Inverse,,203.75,204.3,202.7,204.0,1.1,.54,-,-,-,-,-
Nifty50 PR 2x Leverage,,13917.5,14062.85,13844.3,13882.45,-146.9,-1.05,-,-,-,-,-
NIFTY100 Quality 30,,5796.95,5844.7,5791.85,5806.25,16.6,.29,127297988,15220.75,32.92,8.73,1.7
NIFTY100 ESG,,4841,4862.3,4826.3,4829.45,-24.7,-.51,593095631,41700.15,24.34,4.25,1.22
NIFTY100 Enhanced ESG,,-,-,-,4865.88,-24.89,-.51,592615546,41591.48,24.33,4.25,1.22
NIFTY50 Equal Weight,,30768.65,31006.45,30681.9,30784.3,-80.3,-.26,285196335,31068.7,24.16,3.84,1.33
Nifty500 Equal Weight,,-,-,-,14255.65,133.33,.94,2785443346,86789.95,31.57,4.24,.92
Nifty 50 Futures Index,,-,-,-,6733.51,-29.25,-.43,-,-,-,-,-
Nifty 50 Arbitrage,,-,-,-,2386.95,-1.1,-.05,-,-,-,-,-
Nifty 50 Futures TR Index,,-,-,-,26242.72,-108.85,-.41,-,-,-,-,-
Nifty India Corporate Group Index - Mahindra Group,,-,-,-,31993.49,-376.62,-1.16,9597864,1846.88,31.05,4.42,1.34
Nifty India Corporate Group Index - Aditya Birla Group,,-,-,-,7964.78,2.07,.03,956356094,2108.59,664.39,3.62,.52
Nifty India Corporate Group Index - Tata Group,,-,-,-,18733.35,19.31,.1,67865068,5327.01,36.22,8.2,1.21
Nifty India Corporate Group Index - Tata Group 25% Cap,,16826.35,16950,16760.35,16819.85,-27.05,-.16,57485143,4688.05,37.32,6.5,.99
Nifty Private Bank,,25411.5,25570,25348.7,25393.05,-229.1,-.89,160034164,8969.39,15.37,2.35,.59
Nifty Smallcap 250,,17301.8,17541.45,17294.1,17483.4,205.2,1.19,521588788,18081.54,32.13,4.18,.87
Nifty Smallcap 50,,8816.4,8898.7,8789.55,8876.35,69.9,.79,144465177,6101.34,31.85,3.78,.8
Nifty MidSmallcap 400,,19610.9,19847.4,19571.65,19733.05,113.4,.58,2085579752,41936.78,38.57,4.92,.78
Nifty Midcap 150,,20836.9,21067.6,20773.3,20916.7,49.3,.24,1563990964,23855.24,43.5,5.46,.73
